organism	domain	temperature	taxid	lineage_text	superkingdom	phylum	class	order	family	genus
acaricomes_phytoseiuli	Bacteria	25	291968	cellular organisms; Bacteria; Terrabacteria group; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Acaricomes	2	201174	1760	85006	1268	291967
acarospora_fuscata	Eukaryota	20	371067	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Lecanoromycetes; Acarosporomycetidae; Acarosporales; Acarosporaceae; Acarospora	2759	4890	147547	157821	88746	88747
acarospora_smaragdula	Eukaryota	20	1609035	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Lecanoromycetes; Acarosporomycetidae; Acarosporales; Acarosporaceae; Myriospora	2759	4890	147547	157821	88746	1609030
acaryochloris_marina	Bacteria	20	155978	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteria/Melainabacteria group; Cyanobacteria; Synechococcales; Acaryochloridaceae; Acaryochloris	2	1117	NA	1890424	1890429	155977
acetatifactor_muris	Bacteria	37	879566	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Acetatifactor	2	1239	186801	186802	186803	1427378
acetitomaculum_ruminis	Bacteria	37	2382	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Acetitomaculum	2	1239	186801	186802	186803	31980
acetivibrio_cellulolyticus	Bacteria	37	35830	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Acetivibrio	2	1239	186801	186802	541000	35829
acetivibrio_cellulosolvens	Bacteria	37	35830	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Acetivibrio	2	1239	186801	186802	541000	35829
acetivibrio_ethanolgignens	Bacteria	37	290052	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Acetivibrio	2	1239	186801	186802	541000	35829
acetivibrio_multivorans	Bacteria	28	937251	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Youngiibacter	2	1239	186801	186802	31979	1408818
acetoanaerobium_noterae	Bacteria	35	745369	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Acetoanaerobium	2	1239	186801	186802	186804	186831
acetobacter_aceti	Bacteria	27	435	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter; Acetobacter subgen. Acetobacter	2	1224	28211	204441	433	434
acetobacter_alcoholophilus	Bacteria	26	438	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_aurantius	Bacteria	26	81475	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Rhodanobacteraceae; Frateuria	2	1224	1236	135614	1775411	70411
acetobacter_cerevisiae	Bacteria	27	178900	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_cibinongensis	Bacteria	30	146475	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_diazotrophicus	Bacteria	30	33996	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter	2	1224	28211	204441	433	89583
acetobacter_estunense	Bacteria	26	104097	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_estunensis	Bacteria	27	104097	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_europaeus	Bacteria	30	33995	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacter_fabarum	Bacteria	28	483199	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_ghanensis	Bacteria	30	431306	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_hansenii	Bacteria	28	436	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacter_indonesiensis	Bacteria	28	104101	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_intermedius	Bacteria	30	66229	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacter_lambici	Bacteria	28	1332824	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_liquefaciens	Bacteria	28	89584	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconacetobacter	2	1224	28211	204441	433	89583
acetobacter_lovaniense	Bacteria	26	438	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_lovaniensis	Bacteria	27	104100	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_malorum	Bacteria	29	178901	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_mesoxydans	Bacteria	26	104099	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_methanolicus	Bacteria	30	437	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidomonas	2	1224	28211	204441	433	34000
acetobacter_musti	Bacteria	28	864732	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_nitrogenifigens	Bacteria	28	285268	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_oboediens	Bacteria	30	65958	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacter_oeni	Bacteria	25	304077	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_orientalis	Bacteria	30	146474	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_orleanensis	Bacteria	27	104099	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_oxydans	Bacteria	26	442	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Gluconobacter	2	1224	28211	204441	433	441
acetobacter_pasteurianus	Bacteria	27	438	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_peroxydans	Bacteria	27	104098	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_pomorum	Bacteria	30	65959	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_rancens	Bacteria	26	438	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_senegalensis	Bacteria	35	446692	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_sp	Bacteria	27	440	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_syzygii	Bacteria	30	146476	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_tropicalis	Bacteria	30	104102	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_turbidans	Bacteria	26	438	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acetobacter	2	1224	28211	204441	433	434
acetobacter_xylinum	Bacteria	28	28448	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacter_xylinus	Bacteria	28	28448	cellular organisms; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Komagataeibacter	2	1224	28211	204441	433	1434011
acetobacterium_bakii	Bacteria	20	52689	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_carbinolicum	Bacteria	30	52690	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_dehalogenans	Bacteria	25	82116	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_fimetarium	Bacteria	25	52691	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
acetobacterium_malicum	Bacteria	30	52692	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Acetobacterium	2	1239	186801	186802	186806	33951
